 SHA,PCT,PRACTICE,BNF CODE,BNF NAME                                    ,ITEMS  ,NIC        ,ACT COST   ,QUANTITY,PERIOD,                 
Q64,11E,L81020,0601023B0AAACAC,Pioglitazone HCl_Tab 45mg               ,2,46.84,43.4,112,201610,                  
Q46,02H,P92031,0403010V0AAADAD,Nortriptyline_Tab 10mg                  ,1,35.37,32.87,90,201610,                  
Q49,00P,A89041,0206010K0AAAEAE,Isosorbide Mononit_Tab 60mg M/R         ,11,60.4,57.07,161,201610,                  
Q54,05C,M87005,0601012X0BBABAB,Ins Levemir_FlexPen 100u/ml 3ml Pf Pen  ,2,84,77.82,10,201610,                  
Q51,03L,C87029,0601012X0BBAAAA,Ins Levemir_Penfill 100u/ml 3ml Cart    ,13,630,583.62,75,201610,                  
Q44,12F,N85025,20031500023,Oakmed Option Wound Manager ExSml + Acce,1,387.84,359.18,30,201610,                  
Q55,04R,Y01812,1106000AEBBAAAA,Travatan_Eye Dps 40mcg/ml               ,2,21.9,20.3,4,201610,                  
Q53,05H,M84008,0604011G0BKAABM,FemSeven 50_Patch 50mcg/24hrs           ,1,18.02,16.7,12,201610,                  
Q68,09P,G81641,1106000AIBBAAAA,Ganfort_Eye Dps 300mcg/5mg              ,5,97.65,90.5,21,201610,                  
Q55,04K,C84085,0402010X0AAAIAI,Trifluoperazine_Tab 5mg                 ,1,154,142.73,140,201610,                  
Q70,99M,J82030,0901011P0AAACAC,Ferr Sulf_Tab 200mg                     ,2,4.46,4.16,56,201610,                  
Q52,03G,B86054,21020000960,Rusch Sympacath AquaFlate Male H/Gel Ctd,1,12.36,11.45,2,201610,                  
Q66,99P,L83024,0403010B0AAAHAH,Amitriptyline HCl_Tab 25mg              ,16,20.54,19.23,728,201610,                  
Q49,01H,A82013,0408010W0BBADAA,Epilim_Liq 200mg/5ml S/F                ,1,38.9,36.04,1500,201610,                  
Q60,05X,M82012,0206020C0BHADAU,Dilzem XL 120_Cap 120mg                 ,2,15.56,14.44,56,201610,                  
Q50,03F,Y02896,1304000F0BBAEBA,Betnovate_Oint 0.1%                     ,1,4.05,3.76,100,201610,                  
Q46,01D,P86614,1108010B0AAABAB,Carbomer 980_Gel Eye Dps 0.2%           ,1,2.8,2.61,10,201610,                  
Q44,02F,N81060,20100000532,Micropore 2.5cm x 5m Surg Adh Tape Perm ,5,17.48,16.25,19,201610,                  
Q61,08V,F84718,0103050L0AAABAB,Lansoprazole_Cap 15mg (E/C Gran)        ,168,122.02,126.36,3619,201610,                  
Q46,01W,P88604,130201000BBCJA8,Aveeno_Crm                              ,15,316.41,293.22,10600,201610,                  
Q63,08J,H84629,0403040W0AAAAAA,Venlafaxine_Tab 37.5mg                  ,3,6.18,5.76,168,201610,                  
Q65,11T,L81044,0212000M0AAAAAA,Fluvastatin Sod_Cap 20mg                ,1,2.19,2.04,28,201610,                  
Q52,03J,B85640,1310020H0AAABAB,Clotrimazole_Crm 1%                     ,2,2.13,2,40,201610,                  
Q46,00W,P84626,0205052N0AAABAB,Losartan Pot_Tab 50mg                   ,6,6.96,6.52,224,201610,                  
Q46,01Y,P89025,0601022B0BBAEAV,Glucophage SR_Tab 1000mg                ,3,34.08,31.59,224,201610,                  
Q54,05Y,M91613,0406000P0AAAEAE,Metoclopramide HCl_Tab 10mg             ,2,1.48,1.4,56,201610,                  
Q46,01D,P86011,0106040M0BGACAA,CosmoCol_Oral Pdr Sach (Lem & Lim)      ,1,10.68,9.9,60,201610,                  
Q61,08N,F86066,1304000V0AABCBC,Hydrocort_Oint 1%                       ,2,4.52,4.21,60,201610,                  
Q46,01D,P86009,0106010H0BBAAAC,Celevac_Tab 500mg                       ,1,13.92,12.9,336,201610,                  
Q45,00K,A81634,130201100BBBAA0,Dermol Wash_Cutaneous Emuls             ,1,3.55,3.3,200,201610,                  
Q46,01Y,P89007,21012500106,Alissa Olive Oil Ear Dps Ear Wax Softeni,7,9.94,9.29,7,201610,                  
Q53,05H,M84609,1304000T0BBAGCC,Haelan_Tape 7.5cm x 50cm                ,1,37.08,34.35,4,201610,                  
Q61,07T,F84041,1310011Y0AAAAAA,Silver Sulfadiazine_Crm 1%              ,1,7.7,7.14,100,201610,                  
Q52,03J,B85055,0704050AAAAACAC,Vardenafil_Tab 20mg                     ,2,46.96,43.52,8,201610,                  
Q44,02F,N81093,040201060AAACAC,Olanzapine_Tab 10mg                     ,6,7.63,7.14,196,201610,                  
Q70,10R,J82149,0209000C0AAAAAA,Clopidogrel_Tab 75mg                    ,97,152.2,149.27,2959,201610,                  
Q58,06P,E81005,1106000AJBBAAAA,Azarga_Eye Dps 10mg/ml / 5mg/ml         ,1,11.05,10.25,5,201610,                  
Q50,03F,B81032,090402000BBNSA0,Scandishake Mix_Pdr Sach 85g (Caramel)  ,1,29.4,27.24,12,201610,                  
Q58,06K,E82088,0604011L0BIAAAK,Kliofem_Tab                             ,1,11.43,10.6,84,201610,                  
Q49,00P,A89604,190700000BBBTBK,Thick & Easy_Food Thickener Pdr Sach 9g ,1,93,86.14,2700,201610,                  
Q55,03Y,C81050,0403010R0AAAAAA,Lofepramine HCl_Tab 70mg                ,9,102.58,95.52,428,201610,                  
Q48,01T,N84034,0301020Q0BBACAC,Spiriva Respimat_Inha 2.5mcg (60D) + Dev,21,483,447.58,21,201610,                  
Q51,03N,C88008,1304000X0AACBCB,Hydrocort Acet/Fusidic Acid_Crm 1%/2%   ,3,18.06,16.77,90,201610,                  
Q57,06T,F81156,0905011D0AAAKAK,Calc Carb_Tab Chble 1.5g (600mg) S/F    ,1,4.87,4.62,56,201611,                  
Q44,01R,N81642,1203050A0AAABAB,Artificial Saliva_Spy 50ml              ,1,3.5,3.25,1,201611,                  
Q55,04K,C84683,0407020Q0BCAGCN,Oramorph_Oral Soln 10mg/5ml             ,5,33.87,31.51,1800,201611,                  
Q46,00T,P82025,0107020P0AAADAD,Cinchocaine/Prednis Hex_Suppos 1mg/1.3mg,1,1.38,1.29,12,201611,                  
Q55,04R,C81035,0206020C0BMABAU,Zemtard 120 XL_Cap 120mg                ,1,5.19,4.82,28,201611,                  
Q47,01K,P81029,1304000F0AABBBB,Betameth Val_Oint 0.025% (1 in 4)       ,3,9.45,8.79,300,201611,                  
Q68,09D,G81094,0402010J0AAAKAK,Haloperidol_Tab 5mg                     ,5,8.88,8.78,104,201611,                  
Q46,00T,P82009,1305020D0AAAAAA,Calcipotriol_Oint 50mcg/1g              ,1,5.78,5.36,30,201611,                  
Q46,00V,P83020,0302000C0BRABCA,Fostair NEXThaler_Inh 200mcg/6mcg (120D),2,58.64,54.3,2,201611,                  
Q54,05L,Y02704,0106040M0BBADAA,Movicol Plain_Pdr Sach 13.7g            ,6,53.01,49.24,206,201611,                  
Q70,11J,J81009,130201100BBAZAN,Dermol 200_Shower Emollient             ,5,21.3,19.78,1200,201611,                  
Q57,07H,F81043,0501012G0AAABAB,Fluclox Sod_Cap 500mg                   ,66,159.6,149.97,2088,201611,                  
Q59,03T,C83027,0901020D0AAAEAE,Cyanocobalamin_Tab 50mcg                ,11,79.48,74.3,442,201611,                  
Q47,00X,P81769,0407020ADAAAGAG,Oxycodone HCl_Tab 20mg M/R              ,1,50.08,46.37,56,201611,                  
Q52,02T,B84016,0212000Y0AAABAB,Simvastatin_Tab 20mg                    ,72,68.02,65.65,2506,201611,                  
Q65,11T,L81670,0301020U0BBAAAA,Duaklir Genuair_340mcg/12mcg (60D)      ,7,292.5,270.84,9,201611,                  
Q54,05P,M89004,0410020B0AABWBW,Nicotine_Oromucosal P/Spy (1mg D) S/F   ,1,24.24,22.45,26,201611,                  
Q47,00X,P81171,21130000104,Optiflo S Cath Maint Soln 50ml          ,1,6.72,6.22,2,201611,                  
Q58,06N,E82031,040201030AAAEAE,Risperidone_Oral Soln 1mg/1ml S/F       ,1,4.49,4.17,100,201611,                  
Q58,04G,K83043,0205052W0AAACAC,Eprosartan_Tab 600mg                    ,1,13.69,12.68,28,201611,                  
Q61,08N,F86083,0202030S0AAAUAU,Spironol_Tab 50mg                       ,10,17.92,17.52,280,201611,                  
Q47,00X,P81033,1312000C0BCAAAS,Driclor_A-Pers Soln 20%                 ,1,3.51,3.26,20,201611,                  
Q61,08D,Y01655,0403040W0AAAKAK,Venlafaxine_Tab 150mg M/R               ,3,89.76,83.32,144,201611,                  
Q56,06H,D81041,20090001040,Comfifast MultiStretch 2-way Stch 17.5cm,1,14.94,13.84,6,201611,                  
Q55,04K,Y00065,0601011A0BBAAAA,Ins NovoRapid_Inj 100u/ml 10ml Vl       ,2,28.16,26.09,2,201611,                  
Q62,08G,E86024,0409010N0BBAEAE,Sinemet CR_Tab 250mg                    ,1,21.65,20.15,112,201611,                  
Q61,08N,F86064,0105010B0BCAEAN,Pentasa_Gran Sach 1g M/R                ,1,92.22,85.37,150,201611,                  
Q58,06N,Y02638,0407010H0AAAMAM,Paracet_Tab 500mg                       ,12,17.36,17.32,760,201611,                  
Q62,07P,E84083,21220000211,QV Gentle Wsh                           ,1,5.29,4.91,500,201611,                  
Q62,09A,E87663,0204000R0AAAJAJ,Propranolol HCl_Tab 40mg                ,1,0.89,0.84,28,201611,                  
Q44,02F,N81091,0107040A0AAAIAI,Glyceryl Trinit_Oint 0.4%               ,1,39.3,36.39,30,201611,                  
Q54,05L,M88616,0407010H0AAA7A7,Paracet_Oral Soln Paed 120mg/5ml S/F    ,16,16.85,17.2,2950,201611,                  
Q64,99N,J83037,0604011G0AABDBD,Estradiol_Tab 1mg                       ,3,11.81,11.06,196,201611,                  
Q50,03D,B82622,1404000L0AAABAB,Pneumococcal_Vac 0.5ml Vl (23 Valent)   ,11,91.52,84.71,11,201611,                  
Q53,05A,M84050,1202010U0BBAAAA,Nasonex_Aq N/Spy 50mcg (140 D)          ,2,15.36,14.24,2,201611,                  
Q46,02A,P91020,21300000401,Liquifilm 1.4% Polyvinyl Alcohol Eye Dps,6,13.51,12.59,7,201611,                  
Q59,04C,C82623,0302000N0AABABA,Fluticasone Prop_Inha 125mcg (120 D) CFF,1,42.52,39.37,2,201611,                  
Q62,07W,E85726,0201010F0AAAFAF,Digoxin_Tab 250mcg                      ,1,4.08,3.79,56,201611,                  
Q46,00Y,P89006,0501013K0AAAIAI,Co-Amoxiclav_Susp 250mg/62mg/5ml        ,1,5,4.64,100,201611,                  
Q47,00Q,P81704,0407010P0AAABAB,Nefopam HCl_Tab 30mg                    ,8,307.99,285.79,426,201611,                  
Q56,06H,D81014,0501130D0BBADAD,Monuril_Gran Sach 3g                    ,1,4.86,4.51,1,201611,                  
Q44,02D,N81024,0906070T0AAAAAA,Vit_Cap                                 ,1,1.3,1.32,84,201611,                  
Q49,13T,A85019,040201060AAAQAQ,Olanzapine_Tab 20mg                     ,1,1.55,1.45,28,201611,                  
Q58,06K,E82063,0407020A0BQAEAH,Fencino_Transdermal Patch 100mcg/hr     ,7,264.4,245.23,34,201611,                  
Q66,99P,L83100,0407020B0AAAFAF,Buprenorphine_Patch 52.5mcg/hr (96hr)   ,1,47.42,43.91,8,201611,                  
Q49,00N,A88614,0401010ADAAAAAA,Melatonin_Tab 2mg M/R                   ,1,76.95,71.24,150,201611,                  
Q56,06Y,D82064,1001010K0AAADAD,Indometacin_Cap 75mg M/R                ,1,8.65,8.02,100,201611,                  
Q44,12F,N85012,0403030E0AAAAAA,Fluoxetine HCl_Cap 20mg                 ,298,405.41,398.06,12937,201611,                  
Q69,10T,Y00265,0402010D0AAABAB,Chlorpromazine HCl_Oral Soln 25mg/5ml   ,1,1.88,1.85,120,201611,                  
Q53,05J,M81041,0407010F0AAADAD,Co-Codamol_Cap 30mg/500mg               ,26,130.67,121.76,3744,201611,                  
Q46,01N,P84048,0604011G0BFAABL,Evorel 50_Patch                         ,1,11.64,10.79,24,201611,                  
Q52,02R,B83037,1304000F0BBAEBA,Betnovate_Oint 0.1%                     ,1,1.43,1.34,30,201611,                  
Q66,99P,L83035,20090000487,Comfifast 10.75cm x 5m (Yellow)Stkntte E,7,60.4,55.92,10,201611,                  
Q48,99A,N82082,090402000BBRBA0,Complan_Shake Pdr Sach 57g (Banana)     ,1,19.6,18.15,28,201611,                  
Q47,00X,P81687,21010900432,Sharpsafe 1L                            ,4,3.4,3.2,4,201611,                  
Q61,08M,F84074,0407020ADBHABAD,Lynlor_Cap 10mg                         ,2,41.16,38.12,168,201611,                  
Q59,04C,C82100,23850908508,CliniMed_Hyperseal Washers+Manuka HoneyS,4,101.24,93.73,80,201611,                  
Q59,03W,C82119,0406000F0AAACAC,Cyclizine HCl_Tab 50mg                  ,2,13.95,13.04,184,201611,                  
Q57,06Q,Y00293,0302000C0BRAABY,Fostair NEXThaler_Inh 100mcg/6mcg (120D),22,674.36,624.24,23,201611,                  
Q59,03T,C83083,21300000702,Clinitas Carbomer Eye Gel               ,3,4.47,4.16,30,201611,                  
Q52,03G,B86658,0302000K0AAAGAG,Budesonide_Pdr For Inh 200mcg (100 D)   ,1,23.68,21.93,2,201611,                  
Q48,99A,N82050,0402010D0AAAKAK,Chlorpromazine HCl_Tab 100mg            ,2,5.43,5.05,84,201611,                  
Q50,03K,B81005,0402010ABAAAFAF,Quetiapine_Tab 150mg                    ,2,7.8,7.44,224,201611,                  
Q46,01N,P84021,20031600015,Urgotul SSD 10cm x 12cm Wound Dress Soft,1,44.38,41.09,14,201611,                  
Q50,03D,B82075,23453364517,Opus_DeoGel Deodorising & Lubricating Ge,2,122.2,113.11,200,201611,                  
Q68,09F,G81056,0704010A0AAAAAA,Alfuzosin HCl_Tab 2.5mg                 ,3,10.08,9.66,252,201611,                  
Q58,04G,K83008,0105010B0AAAJAJ,Mesalazine_Suppos 1g                    ,1,85.74,79.48,60,201611,                  
Q70,11J,J81002,1305020D0AAAGAG,Calcipotriol/Betameth_Gel 0.005%/0.05%  ,7,260.47,241.36,420,201612,                  
Q52,03A,B85005,0301011R0BEAIAP,Ventolin_Evohaler 100mcg (200 D)        ,4,7.5,6.99,5,201612,                  
Q56,06W,D82048,0408010AEBEAAAA,Alzain_Cap 25mg                         ,31,1241.31,1151.36,1799,201612,                  
Q68,09L,H81037,1309000L0BCAAAB,Dermax Therapeutic_Shampoo 0.5%         ,1,5.69,5.28,250,201612,                  
Q70,10X,J82087,0410020B0AABABA,Nicotine_Chewing Gum 2mg S/F            ,1,8.26,7.66,96,201612,                  
Q56,06W,D82047,0408010H0AAAQAQ,Lamotrigine_Tab Disper 25mg S/F         ,1,17.71,16.42,392,201612,                  
Q47,01A,P81160,0206010F0AABHBH,Glyceryl Trinit_Patch 5mg/24hrs         ,2,40.92,37.92,56,201612,                  
Q68,09G,H82078,0408010W0BBACAD,Epilim 500_Tab E/C 500mg                ,2,32.34,30.18,168,201612,                  
Q53,05R,M84043,1304000G0BBAAAA,Dermovate_Crm 0.05%                     ,1,2.69,2.49,30,201612,                  
Q56,06H,D81007,1001010K0AAABAB,Indometacin_Cap 50mg                    ,1,1.37,1.28,28,201612,                  
Q69,11C,K81036,0107020P0AAADAD,Cinchocaine/Prednis Hex_Suppos 1mg/1.3mg,1,1.38,1.29,12,201612,                  
Q67,10D,G82693,1106000ALBBAAAA,Simbrinza_Eye Dps 10mg/ml / 2mg/ml      ,2,36.92,34.22,20,201612,                  
Q51,03L,C87016,0407010F0AAADAD,Co-Codamol_Cap 30mg/500mg               ,18,84.46,78.7,2420,201612,                  
Q66,99P,L83088,0212000B0BBADAD,Lipitor_Tab 80mg                        ,1,56.42,52.28,56,201612,                  
Q61,07X,F85035,0407020ADAAAMAM,Oxycodone HCl_Inj 10mg/ml 2ml Amp       ,1,16,14.83,5,201612,                  
Q58,06K,E82005,0407010B0AAA3A3,Aspirin_Tab E/C 300mg                   ,1,5.7,5.39,28,201612,                  
Q59,03W,C82066,1103010Y0AAAAAA,Ofloxacin_Eye Dps 0.3%                  ,6,13.02,12.13,30,201612,                  
Q56,06L,D83046,0309010X0AAALAL,Pholcodine_Linct 5mg/5ml S/F            ,1,1.31,1.23,200,201612,                  
Q48,01J,N83047,1302010U0BJAAAN,E45_Itch Relief Crm                     ,2,7.48,6.95,200,201612,                  
Q61,08N,F86064,1304000D0BCABBD,Diprosalic_Scalp Applic 0.05%/2%        ,2,20.2,18.74,200,201612,                  
Q55,04L,C84646,0302000C0BJADBH,Qvar 100_Autohaler 100mcg (200 D)       ,1,34.42,31.9,2,201612,                  
Q61,07X,F85027,0304010E0AAAAAA,Fexofenadine HCl_Tab 120mg              ,17,43.47,40.47,690,201612,                  
Q55,04H,C84656,21010900803,GlucoRX FinePoint Needles Pen Inj Screw ,4,23.8,22.1,400,201612,                  
Q56,06H,D81020,0106020C0AAAAAA,Bisacodyl_Tab E/C 5mg                   ,56,104.96,100.83,3246,201612,                  
Q61,08V,F84012,21010900721,Unistik 3 Normal Lancets 1.8mm/23 Gauge ,1,6.31,5.86,100,201612,                  
Q44,02D,N81123,090402000BBBDA0,Jevity_Liq                              ,1,254.52,235.78,27000,201612,                  
Q55,04R,C81108,0802010G0AAADAD,Azathioprine_Tab 25mg                   ,3,6.03,5.61,84,201612,                  
Q45,00J,A83033,0106020C0AAAEAE,Bisacodyl_Suppos 10mg                   ,1,7.06,6.55,24,201612,                  
Q52,03A,B85033,1108010F0AAAAAA,Hypromellose_Eye Dps 0.3%               ,2,3.63,3.38,30,201612,                  
Q54,13P,M85103,1304000Y0AABABA,Mometasone Fur_Oint 0.1%                ,6,53.1,49.26,900,201612,                  
Q56,06L,D83074,0403010X0AAABAB,Trazodone HCl_Cap 100mg                 ,5,38.64,36.36,56,201612,                  
Q56,06Y,D82050,0702010F0BCAAAA,Ovestin_Crm 1mg + Applic                ,3,17.8,16.52,60,201612,                  
Q56,06H,D81059,0905011D0AAADAD,Calc Carb_Tab Eff 1.25g                 ,1,2.95,2.85,19,201612,                  
Q56,07K,D83070,0601060D0CLAAA0,Contour (Reagent)_Strips                ,1,29.85,27.65,150,201612,                  
Q45,00D,A83054,0204000ABAAAAAA,Nebivolol_Tab 5mg                       ,2,2.8,2.62,56,201612,                  
Q57,06T,F81212,23600106256,Hollister_Moderma Flex Maxi Integ Convex,2,283.98,263.06,60,201612,                  
Q46,02H,P92008,0403030X0AAAFAF,Escitalopram_Oral Dps 20mg/ml S/F       ,1,20.16,18.69,15,201612,                  
Q60,05W,M83711,1302020E0BGAAAL,Sudocrem_Antis Healing Crm              ,1,5.25,4.88,400,201612,                  
Q59,04V,C82035,21300000711,Xailin Night Paraf Eye Oint P/F 5g      ,1,2.49,2.32,1,201612,                  
Q53,05A,M86015,20030900015,Mepitel 8cm x 10cm Wound Dress Soft Slc ,3,84,77.85,30,201612,                  
Q61,08F,F82031,1001010P0AAADAD,Naproxen_Tab 250mg                      ,16,39.01,36.34,1316,201612,                  
Q57,07H,F81169,1106000L0AAABAB,Latanoprost_Eye Dps 50mcg/ml 0.2mlUd P/F,2,25.47,23.62,90,201612,                  
Q59,04V,C82047,0402020L0AAAFAF,Fluphenazine Decan_Inj 100mg/ml 1ml Amp ,1,17.49,16.31,2,201612,                  
Q53,05F,M81621,0406000B0AAABAB,Betahistine HCl_Tab 16mg                ,1,3.02,2.81,168,201612,                  
Q61,08F,F82028,0401020P0AAABAB,Lorazepam_Tab 1mg                       ,8,48.42,45.36,224,201612,                  
Q61,08D,F85066,1103010C0AAAAAA,Chloramphen_Eye Dps 0.5%                ,27,50.96,47.53,280,201612,                  
Q52,02T,B84004,0802010G0AAAEAE,Azathioprine_Tab 50mg                   ,24,65.22,61.83,1652,201612,                  
Q58,06K,E82008,0206020Z0AAACAC,Amlodipine/Valsartan_Tab 10mg/160mg     ,2,53.02,49.14,56,201612,                  
Q61,07X,F85027,0407020B0BHABAI,Butec_Transdermal Patch 10mcg/hr        ,18,255.6,237,72,201612,                  
Q47,00X,P81057,0403030D0AAACAC,Citalopram Hydrob_Tab 40mg              ,48,49.96,47.08,1554,201612,                  
Q48,99A,N82082,1003020W0BBAAAB,Movelat_Crm                             ,1,7.19,6.67,125,201612,                  
Q59,03W,C82021,040201060AAALAL,Olanzapine_Tab 15mg                     ,1,1.27,1.19,28,201612,                  
Q59,04Q,C83011,21010900603,BD Micro-Fine Ultra Needles Pen Inj Scre,3,38.76,35.94,400,201612,                  
Q54,06A,M92006,0408010A0AAABAB,Levetiracetam_Tab 500mg                 ,9,26.85,25.48,584,201612,                  
Q49,13T,Y04331,0501080W0AAAIAI,Trimethoprim_Oral Susp 50mg/5ml S/F     ,2,4,3.73,200,201612,                  
Q53,05A,M86021,0206020T0AAAUAU,Verapamil HCl_Tab 120mg M/R             ,1,7.71,7.15,28,201612,                  
Q46,02H,P92630,0106020M0AAACAC,Senna_Tab 7.5mg                         ,5,14.3,13.61,288,201612,                  
Q67,09E,G82138,21010900603,BD Micro-Fine Ultra Needles Pen Inj Scre,1,19.38,17.96,200,201612,                  
Q58,06N,E82069,090401000BBFUA0,Vitajoule_Pdr                           ,2,87.6,81.17,10000,201612,                  
Q48,01V,N84013,110801000BLAQA0,Blephaclean_Eye Lid Wipe                ,1,5.34,4.96,20,201612,                  
Q67,99J,G82058,1306010F0BBAAAA,Dalacin T_Top Soln 1% + Applic          ,2,8.68,8.06,60,201612,                  
Q59,04C,C82088,0904010ACBIADAC,Juvela_G/F W/F Pure Oats                ,1,5.56,5.16,1000,201612,                  
Q54,13P,M85070,0702020F0AAAKAK,Clotrimazole_Pess 500mg/Crm 2%          ,22,114.62,106.71,22,201612,                  
Q51,03N,C88025,0407010H0AABUBU,Paracet_Suppos 500mg                    ,1,36.5,33.82,10,201612,                  
Q46,01W,P88023,1304000V0AAAFAF,Hydrocort_Crm 2.5%                      ,2,28.4,26.33,75,201612,                  
Q51,03N,C88007,23941010019,Coloplast_SenSura Mio Flex B/Plt 50mm C/,1,117.15,108.52,30,201612,                  
Q55,04L,C84150,090501100AAADAD,CalcLactGlucon/CalcCarb_Tab 2.263g/1.75g,1,35,32.43,120,201612,                  
Q50,03F,B81020,0703010F0BPAAAC,Rigevidon_Tab                           ,8,24.57,22.82,819,201701,                  
Q68,09D,G81009,0410010B0AAAAAA,Disulfiram_Tab 200mg                    ,1,51.37,47.67,28,201701,                  
Q70,10X,J82213,0409010X0BBACAC,Stalevo_Tab 150mg/37.5mg/200mg          ,1,116.44,107.91,168,201701,                  
Q54,05C,M87002,1304000G0AAAAAA,Clobetasol Prop_Crm 0.05%               ,1,2.69,2.5,30,201701,                  
Q65,12A,L81642,0906040G0AABWBW,Colecal & Calc_Tab Chble 400u/1.25g     ,13,64.46,60.84,912,201701,                  
Q53,05A,M86621,0202030C0AAACAC,Amiloride HCl_Tab 5mg                   ,1,2.42,2.25,56,201701,                  
Q52,03J,B85640,0103050E0AAABAB,Esomeprazole_Tab E/C 40mg               ,9,59.58,55.27,504,201701,                  
Q68,09Y,H81036,1003020U0BBAAAA,Voltarol Emulgel_Aq Gel 1.16%           ,6,33.78,31.34,600,201701,                  
Q54,13P,M85006,0401020T0AAABAB,Oxazepam_Tab 10mg                       ,1,2.94,2.83,60,201701,                  
Q66,11N,Y01922,1404000S0BEAAAD,Typhim VI_Vac 0.5ml Pfs                 ,17,158.1,146.36,17,201701,                  
Q56,06L,D83046,0203020R0AAAAAA,Propafenone HCl_Tab 150mg               ,1,6.88,6.48,84,201701,                  
Q56,06M,D83034,1202020P0BBADAB,Otrivine_Adult Nsl Dps 0.1%             ,1,2.18,2.03,10,201701,                  
Q63,08R,H85634,0101021B0AAALAL,Sod Algin/Pot Bicarb_Susp S/F           ,3,15.36,14.25,1500,201701,                  
Q44,02E,N81628,0410020B0AABRBR,Nicotine_Transdermal Patch 25mg/16hrs   ,2,20.74,19.22,14,201701,                  
Q58,06P,E81005,040801050AAAUAU,Topiramate_Cap 15mg                     ,1,50.16,46.45,120,201701,                  
Q68,09N,H81076,1502010J0AABUBU,Lido HCl_Inj 1% 2ml Amp                 ,2,0.44,0.4,2,201701,                  
Q66,11N,Y00626,1002020S0AAABAB,Methocarbamol_Tab 750mg                 ,2,67.53,62.64,150,201701,                  
Q51,02X,C86039,0703010F0BEABAH,Microgynon 30 ED_Tab                    ,1,2.99,2.79,84,201701,                  
Q58,06F,E81069,1404000H0AAAFAF,Influenza_Vac Inact 0.5ml Pfs           ,1,6.59,6.1,1,201701,                  
Q52,02R,B83041,0204000I0AAADAD,Labetalol HCl_Tab 200mg                 ,1,8.77,8.13,56,201701,                  
Q58,04G,K83013,0206020C0AAAAAA,Diltiazem HCl_Tab 60mg M/R              ,1,27.73,25.78,56,201701,                  
Q57,07H,F81043,1304000F0BBADAB,Betnovate RD_Crm 0.025%                 ,1,3.15,2.93,100,201701,                  
Q52,03R,B87039,0403030X0AAABAB,Escitalopram_Tab 20mg                   ,3,4.47,4.17,84,201701,                  
Q53,06D,Y04292,20020200914,K-Soft Long 10cm x 4.5m M/Layer Compress,12,67.83,62.83,119,201701,                  
Q53,05A,M86012,0206020R0AAAMAM,Nifedipine_Cap 10mg M/R                 ,1,3.64,3.48,56,201701,                  
Q57,99G,F81144,130201000AAA3A3,Liq Paraf/Wte Soft Paraf_Oint 5%/95%    ,1,5.99,5.56,500,201701,                  
Q61,07T,F84635,22501005030,Coloplast_Trident T2 Leg Bag 500ml Short,1,30.76,28.48,10,201701,                  
Q60,05W,M83128,0406000S0AAABAB,Ondansetron HCl_Tab 4mg                 ,1,8.74,8.2,84,201701,                  
Q58,04G,K83007,0601012V0BBAEAD,Ins Lantus SoloStar_100u/ml 3ml Pf Pen  ,8,415,384.28,50,201701,                  
Q70,11J,J81632,130201000BBBAAL,E45_Crm                                 ,6,54.68,50.69,3000,201701,                  
Q47,01E,P81184,0103050P0AABDBD,Omeprazole_Tab E/C 20mg                 ,7,10.5,10.51,49,201701,                  
Q49,01H,A82012,0204000ABAAAAAA,Nebivolol_Tab 5mg                       ,2,2.5,2.32,56,201701,                  
Q47,00X,P81044,0202040C0AAABAB,Co-Amilozide_Tab 2.5mg/25mg             ,1,12.1,11.21,56,201701,                  
Q58,06F,Y00561,0703010F0BVAAAJ,Lucette_Tab 0.03mg/3mg                  ,2,18.7,17.34,126,201701,                  
Q52,03C,B86064,21010900620,Microlet Lancets 0.5mm/28 Gauge         ,10,60.96,56.55,1600,201701,                  
Q61,08W,F86088,1306010Z0BBAAAA,Epiduo_Gel 0.1%/2.5%                    ,2,38.1,35.3,90,201701,                  
Q46,01W,P88607,21220000242,Epimax Crm 500g                         ,4,12.45,11.57,2500,201701,                  
Q60,05W,M83061,0402010ABAAAXAX,Quetiapine_Tab 300mg M/R                ,3,59.49,55.41,21,201701,                  
Q45,00D,A83037,0906040G0BRAABU,Calcichew D3_Tab Chble                  ,5,19.35,18.47,252,201701,                  
Q58,06P,Y02463,090402000BBRBA0,Complan_Shake Pdr Sach 57g (Banana)     ,1,84,77.78,120,201701,                  
Q55,04K,C84018,21010230111,Volumatic Paed + Mask                   ,3,20.31,18.84,3,201701,                  
Q47,01E,P81213,0601060D0BTAAA0,Active (Reagent)_Strips                 ,1,9.95,9.22,50,201701,                  
Q61,07X,F85043,0501013B0AAABAB,Amoxicillin_Cap 500mg                   ,33,38.31,35.87,633,201701,                  
Q53,05A,M84031,0604011L0BPAAAT,Elleste Duet_Tab 2mg                    ,1,18.4,17.03,168,201701,                  
Q68,09G,H82029,20030900070,Allevyn Gentle Border 7.5cm x 7.5cm Woun,2,30.2,27.97,20,201701,                  
Q51,03N,C88079,0106020L0AAAAAA,Glycerol_Suppos Infant's (1g)           ,1,2.08,1.94,24,201701,                  
Q59,04C,C82008,0703010G0BGAAAC,Lizinna_Tab                             ,4,42.96,39.82,504,201701,                  
Q49,13T,A86013,1304000V0AAAJAJ,Hydrocort/Crotamiton_Crm 0.25%/10%      ,1,8.68,8.05,60,201701,                  
